College,Email
Newberry College,admission@newberry.edu
Newberry College,admissions@newberry.edu
Newbury College,admissions@newbury.edu
Newcastle University,americas.io@ncl.ac.uk
Newman University,admissions@newmanu.edu
Niagara University,admissions@niagara.edu
Nicholls State University,nicholls@nicholls.edu
Nichols College,admissions@nichols.edu
Norfolk State University,admissions@nsu.edu
North Carolina Central University,admissions@nccu.edu
North Carolina State University,undergrad-admissions@ncsu.edu
North Carolina State University,uadmit@ncat.edu
North Carolina Wesleyan College,adm@ncwc.edu
North Central College,admissions@noctrl.edu
North Central University,admissions@northcentral.edu
North Dakota State University,ndsu.admission@ndsu.edu
North Greenville University,admissions@ngu.edu
North Park University,admissions@northpark.edu
Northeastern Illinois University,admrec@neiu.edu
Northeastern State University,nsuinfo@nsuok.edu
Northern Arizona University,admissions@nau.edu
Northern Illinois University,admissions@niu.edu
Northern Kentucky University,beanorse@nku.edu
Northern Michigan University,admissions@nmu.edu
Northern State University,admissions@northern.edu
Northern Vermont University,Admissions@NorthernVermont.edu
Northern Vermont University Johnson Campus,jscadmissions@jsc.edu
Northland College,admit@northland.edu
Northwest Christian University,admissions@nwcu.edu
Northwest Missouri State University,admissions@nwmissouri.edu
Northwest Nazarene University,admissions@nnu.edu
Northwest University,admissions@northwestu.edu
Northwestern College,admissions@nwciowa.edu
Northwestern Oklahoma State University,recruit@nwosu.edu
Northwestern State University Of Louisiana,applications@nsula.edu
Northwestern University,ug-admission@northwestern.edu
Northwestern University Qatar,admissions@qatar.northwestern.edu
Northwood University,admit@northwood.edu
Northwood University Michigan Campus,miadmit@northwood.edu
Norwich University,nuadm@norwich.edu
Notre Dame De Namur University,admiss@ndnu.edu
Notre Dame Of Maryland University,admiss@ndm.edu
Nova Scotia College Of Art And Design,admissions@nscad.ca
Nova Southeastern University,admissions@nova.edu
Nyack College,admissions@nyack.edu
Oak Hills Christian College,admissions@oakhills.edu
Oakland City University,admission@oak.edu
Oakland University,visit@oakland.edu
Oakwood University,admission@oakwood.edu
Oberlin College Arts And Sciences,college.admissions@oberlin.edu
Oberlin Conservatory Music,conservatory.admissions@oberlin.edu
Occidental College,admission@oxy.edu
Oglethorpe University,admission@oglethorpe.edu
Ohio Dominican University,admissions@ohiodominican.edu
Ohio Northern University,admissions-ug@onu.edu
Ohio University,admissions@ohio.edu
Ohio Valley University,admissions@ovu.edu
Ohio Wesleyan University,owuadmit@owu.edu
Oklahoma Baptist University,admissions@okbu.edu
Oklahoma Christian University,admissions@oc.edu
Oklahoma City University,admissions@okcu.edu
Oklahoma City University,uadmissions@okcu.edu
Oklahoma Panhandle State University,opsu@opsu.edu
Oklahoma State University,admissions@okstate.edu
Oklahoma Wesleyan University,admissions@okwu.edu
Old Dominion University,admissions@odu.edu
Ole Miss University Mississippi,admissions@olemiss.edu
Olivet College,admissions@olivetcollege.edu
Olivet Nazarene University,admissions@olivet.edu
Oral Roberts University,admissions@oru.edu
Oregon College Of Art And Craft,admissions@ocac.edu
Oregon Institute Of Technology,oit@oit.edu
Oregon State University,osuadmit@oregonstate.edu
Otis College Art And Design,admissions@otis.edu
Ottawa University,admiss@ottawa.edu
Otterbein University,uotterb@otterbein.edu
Ouachita Baptist University,admissions@obu.edu
Our Lady Of The Lake University,admission@ollusa.edu
Pace University,appprocessing@pace.edu
Pacific Lutheran University,admission@plu.edu
Pacific Northwest College Of Art,admissions@pnca.edu
Pacific Oaks College,admissions@pacificoaks.edu
Pacific Union College,admissions@puc.edu
Pacific University Oregon,admissions@pacificu.edu
Paier College Of Art,paier.admission@snet.net
Paine College,admissions@paine.edu
Palm Beach Atlantic University,admit@pba.edu
Park University,parkvilleadmissions@park.edu
Parsons The New School For Design,thinkparsons@newschool.edu
Patrick Henry College,admissions@phc.edu
Paul Quinn College,apply@pqc.edu
Paul Smiths College,admissions@paulsmiths.edu
Peirce College,admissions@peirce.edu
Penn State,admissions@psu.edu
Pennsylvania Academy Fine Arts,admissions@pafa.edu
Pennsylvania College Of Technology,admissions@pct.edu
Pennsylvania State Erie The Behrend College,behrend.admissions@psu.edu
Pennsylvania State University Abington,abingtonadmissions@psu.edu
Pennsylvania State University Altoona,aaadmit@psu.edu
Pennsylvania State University Beaver,br-admissions@psu.edu
Pennsylvania State University Berks,berksadmissions@psu.edu
Pennsylvania State University Brandywine,bwadmissions@psu.edu
Pennsylvania State University Dubois Campus,kcn3@psu.edu
Pennsylvania State University Fayette,feadm@psu.edu
Pennsylvania State University Greater Allegheny,psuga@psu.edu
Pennsylvania State University Harrisburg,hbgadmit@psu.edu
Pennsylvania State University Hazleton,hn-admissions@psu.edu
Pennsylvania State University Lehigh Valley,admissions-lv@psu.edu
Pennsylvania State University Mont Alto,psuma@psu.edu
Pennsylvania State University New Kensington,nkadmissions@psu.edu
Pennsylvania State University Schuylkill,sl-admissions@psu.edu
Pennsylvania State University Shenango,psushenango@psu.edu
Pennsylvania State University Wilkes Barre Campus,wbadmissions@psu.edu
Pennsylvania State University Worthington Scranton,wsadmissions@psu.edu
Pennsylvania State University York,ykadmission@psu.edu
Pepperdine University,admission-seaver@pepperdine.edu
Peru State College,admissions@peru.edu
Pfeiffer University,admissions@pfeiffer.edu
Philander Smith College,admissions@philander.edu
Piedmont College,ugrad@piedmont.edu
Piedmont International University,admissions@piedmontu.edu
Pine Manor College,admissions@pmc.edu
Pittsburg State University,psuadmit@pittstate.edu
Pitzer College,admission@pitzer.edu
Plymouth State University,admissions@plymouth.edu
Plymouth State University,plymouthadmit@plymouth.edu
Point Loma Nazarene University,admissions@pointloma.edu
Point Park University,enroll@pointpark.edu
Point University,admissions@point.edu
Polk State College,studentservices@polk.edu
Polytechnic University Of Puerto Rico,tcardona@pupr.edu
Pomona College,admissions@pomona.edu
Pontifical Catholic University Of Puerto Rico Ponce,admisiones@pucpr.edu
Pontifical College Josephinum,admissions@pcj.edu
Portland State University,admissions@pdx.edu
Potomac University Of The,admissions@potomac.edu
Prairie View Am University,admissions@pvamu.edu
Pratt Institute,admissions@pratt.edu
Presbyterian College,admissions@presby.edu
Prescott College,admissions@prescott.edu
Presentation College,admit@presentation.edu
Princeton University,uaoffice@princeton.edu
Principia College,collegeadmissions@principia.edu
Providence College,pcadmiss@providence.edu
Purdue University Fort Wayne,ask@pfw.edu
Purdue University Northwest,admissions@pnw.edu
Queens University Canada,admission@queensu.ca
Queens University Charlotte,admissions@queens.edu
Quest University Canada,admissions@questu.ca
Quincy University,admissions@quincy.edu
Quinnipiac University,admissions@qu.edu
Radford University,admissions@radford.edu
Ramapo College New Jersey,admissions@ramapo.edu
Randolph College,admissions@randolphcollege.edu
Randolph Macon College,admissions@rmc.edu
Reed College,admission@reed.edu
Regent University,admissions@regent.edu
Regents University London,admit@regents.ac.uk
Regis College,admission@regiscollege.edu
Regis University,ruadmissions@regis.edu
Reinhardt University,admissions@reinhardt.edu
Rensselaer Polytechnic Institute,admissions@rpi.edu
Research College Of Nursing,leslie.burry@researchcollege.edu
Resurrection University,admissions@resu.edu
Rhode Island College,admissions@ric.edu
Rhode Island School Design,admissions@risd.edu
Rhodes College,dataservices@rhodes.edu
Rhodes College,adminfo@rhodes.edu
Rice University,admi@rice.edu
Richmond American International University London,usadmissions@richmond.ac.uk
Rider University,admissions@rider.edu
Riga Business School,info@rbs.lv
Ringling College Art And Design,admissions@ringling.edu
Ripon College,adminfo@ripon.edu
Ritsumeikan Asia Pacific University,welcome@apu.ac.jp
Rivier University,admissions@rivier.edu
Roanoke College,admissions@roanoke.edu
Robert Gordon University,UGOffice@rgu.ac.uk
Robert Morris University,enroll@robertmorris.edu
Robert Morris University Pa,admissions@rmu.edu
Roberts Wesleyan College,admissions@roberts.edu
Rochester College,admissions@rc.edu
Rochester Institute Technology,admissions@rit.edu
Rockford University,admissions@rockford.edu
Rockhurst University,admissions@rockhurst.edu
Rocky Mountain College,admissions@rocky.edu
Rocky Mountain College Of Art And Design,admissions@rmcad.edu
Roger Williams University,admit@rwu.edu
Rogers State University,admissions@rsu.edu
Rollins College,admission@rollins.edu
Roosevelt University,admission@roosevelt.edu
Rose Hulman Institute Technology,admissions@rose-hulman.edu
Rosemont College,admissions@rosemont.edu
Rowan University,admissions@rowan.edu
Rush University,rmc_admissions@rush.edu
Rust College,admissions@rustcollege.edu
Rutgers The State University Of New Jersey Camden,admissions@camden.rutgers.edu
Rutgers The State University Of New Jersey Newark,newark@admissions.rutgers.edu
Ryerson University,international@ryerson.ca
Sacred Heart Major Seminary,admissions@shms.edu
Sacred Heart University,enroll@sacredheart.edu
Sage Colleges,contact@sage.edu
Saginaw Valley State University,admissions@svsu.edu
Sagu American Indian College,aicinfo@sagu.edu
Saint Anselm College,admission@anselm.edu
Saint Augustines University,admissions@st-aug.edu
Saint Francis University,admissions@francis.edu
Saint Josephs College Maine,admissions@sjcme.edu
Saint Josephs University,admit@sju.edu
Saint Leo University,admissions@saintleo.edu
Saint Louis University,admission@slu.edu
Saint Louis University Madrid Campus Spain,admissions-madrid@slu.edu
Saint Martins University,admissions@stmartin.edu
Saint Mary Woods College,admission@smwc.edu
Saint Marys College,admission@saintmarys.edu
Saint Marys College California,smcadmit@stmarys-ca.edu
Saint Marys University Minnesota,admission@smumn.edu
Saint Michaels College,admission@smcvt.edu
Saint Peters University,admissions@saintpeters.edu
Saint Vincent College,admission@stvincent.edu
Saint Xavier University,admission@sxu.edu
Salem College,admissions@salem.edu
Salem State University,admissions@salemstate.edu
Salisbury University,admissions@salisbury.edu
Salve Regina University,sruadmis@salve.edu
Sam Houston State University,admissions@shsu.edu
Samford University,admission@samford.edu
San Diego Christian College,admissions@sdcc.edu
San Diego State University,admissions@sdsu.edu
San Francisco Art Institute,admissions@sfai.edu
San Francisco Conservatory Of Music,admit@sfcm.edu
San Francisco State University,ugadmit@sfsu.edu
San Jose State University,admissions@sjsu.edu
Santa Clara University,admission@scu.edu
Sarah Lawrence College,slcadmit@sarahlawrence.edu
Savannah College Art And Design,admission@scad.edu
Savannah State University,admissions@savannahstate.edu
School Art Institute Chicago,admiss@saic.edu
School Of The Museum Of Fine Arts Boston,smfaadmissions@tufts.edu
School Of Visual Arts,admissions@sva.edu
Schreiner University,admissions@schreiner.edu
Scripps College,admission@scrippscollege.edu
Seattle Pacific University,admissions@spu.edu
Seattle University,admissions@seattleu.edu
Seton Hall University,thehall@shu.edu
Seton Hill University,admit@setonhill.edu
Sewanee,admiss@sewanee.edu
Shasta Bible College And Graduate School,admissions@shasta.edu
Shaw University,admissions@shawu.edu
Shawnee State University,to_ssu@shawnee.edu
Shenandoah University,admit@su.edu
Shepherd University,admission@shepherd.edu
Shippensburg University Of Pennsylvania,admiss@ship.edu
Shorter University,admissions@shorter.edu
Siena College,admissions@siena.edu
Siena Heights University,admissions@sienaheights.edu
Sierra Nevada College,admissions@sierranevada.edu
Silver Lake College,admslc@sl.edu
Simmons University,ugadm@simmons.edu
Simon Fraser University,admissionsteam@sfu.ca
Simpson College,admiss@simpson.edu
Simpson University,admissions@simpsonu.edu
Skidmore College,admissions@skidmore.edu
Slippery Rock University Of Pennsylvania,asktherock@sru.edu
Smith College,admission@smith.edu
Soka University of America,admission@soka.edu
Sonoma State University,student.outreach@sonoma.edu
South Carolina State University,admissions@scsu.edu
South Dakota School Of Mines And Technology,admissions@sdsmt.edu
South Dakota State University,sdsu.admissions@sdstate.edu
Southeast Missouri State University,admissions@semo.edu
Southeastern Baptist Theological Seminary,admissions@sebts.edu
Southeastern Louisiana University,admissions@southeastern.edu
Southeastern Oklahoma State University,admissions@se.edu
Southeastern University,admission@seu.edu
Southern Adventist University,admissions@southern.edu
Southern Arkansas University,muleriders@saumag.edu
Southern California Institute of Architecture,admissions@sciarc.edu
Southern Connecticut State University,admissions@southernct.edu
Southern Connecticut State University,leeg1@southernct.edu
Southern Illinois University Carbondale,admissions@siu.edu
Southern Illinois University Edwardsville,admissions@siue.edu
Southern Methodist University,ugadmission@smu.edu
Southern Nazarene University,admissions@snu.edu
Southern New Hampshire University,admission@snhu.edu
Southern Oregon University,admissions@sou.edu
Southern University And Am College,admit@subr.edu
Southern University At New Orleans,lgarrett@suno.edu
Southern Utah University,adminfo@suu.edu
Southern Vermont College,admissions@svc.edu
Southern Virginia University,admissions@svu.edu
Southern Wesleyan University,admissions@swu.edu
Southwest Baptist University,admissions@sbuniv.edu
Southwest Minnesota State University,smsu.admissions@smsu.edu
Southwest University Of Visual Arts,admissions@suva.edu
Southwestern Adventist University,admissions@swau.edu
Southwestern Assemblies Of God University,admissions@sagu.edu
Southwestern Christian University,admissions@swcu.edu
Southwestern College,scadmit@sckans.edu
Southwestern Oklahoma State University,admissions@swosu.edu
Southwestern University,admission@southwestern.edu
Spalding University,admissions@spalding.edu
Spelman College,admissions@spelman.edu
Spring Arbor University,admissions@arbor.edu
Spring Hill College,admit@shc.edu
Springfield College,admissions@springfieldcollege.edu
St Ambrose University,admit@sau.edu
St Andrews University,admissions@sa.edu
St Anthony College Of Nursing,admissions@sacn.edu
St Bonaventure University,admissions@sbu.edu
St Catherine University,admissions@stkate.edu
St Cloud State University,scsu4u@stcloudstate.edu
St Edwards University,seu.admit@stedwards.edu
St Francis College,admissions@sfc.edu
St Francis Medical Center College Of Nursing,conadmissions@osfhealthcare.org
St John Fisher College,admissions@sjfc.edu
St Johns College,annapolis.admissions@sjc.edu
St Johns College,santafe.admissions@sjc.edu
St Johns College Md,admissions@sjc.edu
St Johns University,admhelp@stjohns.edu
St Josephs College Brooklyn,brooklynas@sjcny.edu
St Josephs College Brooklyn Campus,bkadmissions@sjcny.edu
St Josephs College Long Island Campus,liadmissions@sjcny.edu
St Josephs College New York Long Island,longislandas@sjcny.edu
St Lawrence University,admissions@stlawu.edu
St Louis Christian College,admissions@stlchristian.edu
St Louis College Pharmacy,admissions@stlcop.edu
St Mary University Twickenham London,admit@stmarys.ac.uk
St Marys College,admissions@smcm.edu
St Marys University Of San Antonio,uadm@stmarytx.edu
St Norbert College,admit@snc.edu
St Olaf College,admissions@stolaf.edu
St Petersburg College,information@spcollege.edu
St Thomas Aquinas College,admissions@stac.edu
St Thomas University,signup@stu.edu
St Thomas University,international@stu.ca
St Thomas University,admissions@stu.ca
Stanford University,admission@stanford.edu
Stephen F Austin State University,admissions@sfasu.edu
Stephens College,apply@stephens.edu
Sterling College,admission@sterlingcollege.edu
Sterling College,admissions@sterling.edu
Stetson University,admissions@stetson.edu
Stevens Institute Technology,admissions@stevens.edu
Stevenson University,admissions@stevenson.edu
Stillman College,admissions@stillman.edu
Stockton University,admissions@stockton.edu
Stonehill College,admission@stonehill.edu
Suffolk University,admission@suffolk.edu
Sul Ross State University,admissions@sulross.edu
Sungkyunkwan University,undergrad@skku.edu
Suny Alfred State College,admissions@alfredstate.edu
Suny Binghamton University,admit@binghamton.edu
Suny Buffalo State College,admissions@buffalostate.edu
Suny Cobleskill,admissions@cobleskill.edu
Suny College Brockport,admit@brockport.edu
Suny College Environmental Science Forestry,esfinfo@esf.edu
Suny College Geneseo,admissions@geneseo.edu
Suny College Old Westbury,enroll@oldwestbury.edu
Suny College Oneonta,admissions@oneonta.edu
Suny College Technology Canton,admissions@canton.edu
Suny Cortland,admissions@cortland.edu
Suny Delhi,enroll@delhi.edu
Suny Empire State College,admissions@esc.edu
Suny Farmingdale State College,admissions@farmingdale.edu
Suny Fredonia,admissions@fredonia.edu
Suny Korea,admission@sunykorea.ac.kr
Suny Maritime College,admissions@sunymaritime.edu
Suny Morrisville State College,admissions@morrisville.edu
Suny New Paltz,admissions@newpaltz.edu
Suny Oswego,admiss@oswego.edu
Suny Plattsburgh,admissions@plattsburgh.edu
Suny Polytechnic Institute,admissions@sunyit.edu
Suny Potsdam,admissions@potsdam.edu
Suny Purchase College,admissions@purchase.edu
Suny Stony Brook University,enroll@stonybrook.edu
Suny University Albany,ugadmissions@albany.edu
Suny University Buffalo,ub-admissions@buffalo.edu
Susquehanna University,suadmiss@susqu.edu
Swarthmore College,admissions@swarthmore.edu
Sweet Briar College,admissions@sbc.edu
Syracuse University,orange@syr.edu
Tabor College,admissions@tabor.edu
Talladega College,admissions@talladega.edu
Tarleton State University,uadm@tarleton.edu
Taylor University,admissions@taylor.edu
Temple University,tuadm@temple.edu
Temple University Japan Campus,ac@tuj.temple.edu
Tennessee State University,admissions@tnstate.edu
Tennessee Technological University,admissions@tntech.edu
Tennessee Wesleyan University,admissions@tnwesleyan.edu
Texas Am International University,adms@tamiu.edu
Texas Am University College Station,admissions@tamu.edu
Texas Am University Commerce,admissions@tamuc.edu
Texas Am University Corpus Christi,admiss@tamucc.edu
Texas Am University Kingsville,admissions@tamuk.edu
Texas Am University Texarkana,admissions@tamut.edu
Texas Christian University,frogmail@tcu.edu
Texas College,admissions@texascollege.edu
Texas Lutheran University,applicant@tlu.edu
Texas Lutheran University,admissions@tlu.edu
Texas Southern University,admissions@tsu.edu
Texas State University,admissions@txstate.edu
Texas Tech University,admissions@ttu.edu
Texas University Of The Rio Grande Valley,admissions@utrgv.edu
Texas Wesleyan University,admissions@txwes.edu
Texas Womans University,admissions@twu.edu
The American College Of Greece,admissions@acg.edu
The American University In Cairo,enrolauc@aucegypt.edu
The Boston Conservatory,conservatoryadmissions@berklee.edu
The Citadel,admissions@citadel.edu
The College Of Idaho,admissions@collegeofidaho.edu
The College Of St Rose,admit@mail.strose.edu
The Kings College,admissions@tkc.edu
The Masters University And Seminary,admissions@masters.edu
The New School College Of Performing Arts,performingarts@newschool.edu
The Sage Colleges,admission@sage.edu
The University Of Alabama,admissions@ua.edu
The University Of Alabama Huntsville,uahadmissions@uah.edu
The University Of British Columbia,admissions.inquiry@ubc.ca
The University Of Montana,admiss@umontana.edu
The University Of Montana Western,admissions@umwestern.edu
The University Of Mount Olive,admissions@umo.edu
The University Of New Mexico,apply@unm.edu
The University Of Texas Of The Permian Basin,admissions@utpb.edu
The University Of The Arts,admissions@uarts.edu
The University Of Utah,admissions@utah.edu
Thiel College,admissions@thiel.edu
Thomas Aquinas College,admissions@thomasaquinas.edu
Thomas College,admiss@thomas.edu
Thomas Edison State University,admissions@tesu.edu
Thomas More College,admissions@thomasmore.edu
Thomas University,rgagliano@thomasu.edu
Tiffin University,admiss@tiffin.edu
Toccoa Falls College,admissions@tfc.edu
Tougaloo College,admissions@tougaloo.edu
Touro College,lasadmit@adminm.touro.edu
Towson University,admissions@towson.edu
Transylvania University,admissions@transy.edu
Trevecca Nazarene University,admissions_und@trevecca.edu
Trine University,admit@trine.edu
Trinity Baptist College,admissions@tbc.edu
Trinity Christian College,admissions@trnty.edu
Trinity College,admissions.office@trincoll.edu
Trinity College Of Florida,admissions@trinitycollege.edu
Trinity College Of Nursing Health Sciences,lori.perez@trinitycollegeqc.edu
Trinity International University,admissions@tiu.edu
Trinity University,admissions@trinity.edu
Trinity Washington University,admissions@trinitydc.edu
Troy University,admit@troy.edu
Truett Mcconnell University,admissions@truett.edu
Truman State University,admissions@truman.edu
Tufts University,undergraduate.admissions@tufts.edu
Tulane University,undergrad.admission@tulane.edu
Tusculum College,admissions@tusculum.edu
Tusculum University,admission@tusculum.edu
Tuskegee University,admissions@mytu.tuskegee.edu
Underwood International College Yonsei University,uicadm@yonsei.ac.kr
Union College,admissions@union.edu
Union College,enrollme@unionky.edu
Union College,ucenroll@ucollege.edu
Union Institute University,admissions@myunion.edu
Union University,info@uu.edu
United States Air Force Academy,rr_webmail@usafa.edu
United States Coast Guard Academy,admissions@uscga.edu
United States Merchant Marine Academy,admissions@usmma.edu
United States Military Academy,admissions-info@usma.edu
United States Naval Academy,inquire@usna.edu
Unity College,admissions@unity.edu
Universidad Adventista De Las Antillas,admissions@uaa.edu
Universidad Carlos Iii De Madrid,prospectivestudents@uc3m.es
Universidad Del Este Une,ue_rfuentes@suagm.edu
Universidad Del Sagrado Corazon,kcastillo@sagrado.edu
Universidad Del Turabo,admisiones-ut@suagm.edu
University Of Aberdeen,sras@abdn.ac.uk
University Of Advancing Technology,admissions@uat.edu
University Of Akron Main Campus,admissions@uakron.edu
University Of Alabama Birmingham Uab,chooseuab@uab.edu
University Of Alaska Anchorage,admissions@alaska.edu
University Of Alaska Fairbanks,admissions@uaf.edu
University Of Alaska Southeast,admissions@uas.alaska.edu
University Of Alberta,ian.reade@ualberta.ca
University Of Arizona,admissions@arizona.edu
University Of Arkansas,uofa@uark.edu
University Of Arkansas At Fort Smith,admissions@uafs.edu
University Of Arkansas At Little Rock,admissions@ualr.edu
University Of Arkansas At Monticello,admissions@uamont.edu
University Of Arkansas At Pine Bluff,owasoyop@uapb.edu
University Of Baltimore,admissions@ubalt.edu
University Of Bridgeport,admit@bridgeport.edu
University Of Bristol,choose-bristol@bristol.ac.uk
University Of Calgary,future.students@ucalgary.ca
University Of California At Merced,admissions@ucmerced.edu
University Of California Davis,undergraduateadmissions@ucdavis.edu
University Of California Irvine,admissions@uci.edu
University Of California Riverside,admissions@ucr.edu
University Of California Santa Barbara,admissions@sa.ucsb.edu
University Of California Santa Cruz,admissions@ucsc.edu
University Of Central Arkansas,admissions@uca.edu
University Of Central Florida,admissions@ucf.edu
University Of Central Missouri,admit@ucmo.edu
University Of Central Oklahoma,onestop@uco.edu
University Of Charleston,admissions@ucwv.edu
University Of Chicago,collegeadmissions@uchicago.edu
University Of Cincinnati,admissions@uc.edu
University Of Cincinnati Blue Ash College And Clermont College,admissions@ucblueash.edu
